MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,OwnShots,OpponentShots,OwnPossession,OpponentPossession,OwnAttack,OwnDangerousAttack,OpponentAttack,OpponentDangerousAttack,PezzaliScore,GoalDifference,GD_Std,average_clustering,average_shortest_path,transitivity,node_connectivity,closeness_centrality,eigenvector_centrality,betweenness_centrality,small_world,small_world_std,AttackScore,AttackScore_1
1,Opponent1,win,1,0,home,Coach1,9,9,62,38,67,30,61,38,2,1,0.625,0.707303223,1.423076923,0.64,2,0.714468571,0.259778269,0.03525641,-0.018342821,0.527145178,0.537618637,0.240724763
2,Opponent2,tie,1,1,away,Coach1,7,19,35,65,60,31,70,53,2.5,0,0.5,0.566696566,1.450549451,0.585020243,0,0.613244909,0.245914554,0.043498168,-0.015625,0.55109902,0.175471698,0.090660377
3,Opponent3,loss,0,2,away,Coach1,7,18,43,57,68,30,102,49,0.791666667,-2,0.25,0.694603553,1.43956044,0.657963446,2,0.706414627,0.257003637,0.036630037,0.010259505,0.779235212,0.175510204,0.077430972
4,Opponent4,loss,0,3,home,Coach1,12,15,51,49,77,34,70,40,0.307692308,-3,0.125,0.713985614,1.373626374,0.676148796,3,0.739296684,0.259895381,0.031135531,-0.008359457,0.615134755,0.47685,0.210557143
5,Opponent5,loss,0,4,away,Coach1,7,16,51,49,59,21,68,39,0.425,-4,0,0.747334969,1.368131868,0.715320911,2,0.744065465,0.258725934,0.030677656,-0.009933775,0.601259315,0.238269231,0.084807692
6,Opponent6,win,2,1,home,Coach1,11,8,51,49,40,33,41,36,1.125,1,0.625,0.675976544,1.428571429,0.62622549,3,0.712431889,0.259221151,0.035714286,-0.002710027,0.664926685,0.456097561,0.376280488
7,Opponent7,loss,0,1,home,Coach1,23,5,63,37,87,61,77,30,0.125,-1,0.375,0.746565316,1.346153846,0.698602794,4,0.752995704,0.260734872,0.028846154,-0.003218884,0.660441812,1.447363636,1.014818182
8,Opponent8,tie,1,1,away,Coach1,13,11,53,47,62,30,67,34,0.857142857,0,0.5,0.682176831,1.406593407,0.711711712,1,0.640627931,0.24497484,0.039835165,-0.002380952,0.667827027,0.432748025,0.209394205
9,Opponent9,loss,2,5,home,Coach1,8,30,33,67,67,28,77,49,1.722222222,-3,0.125,0.589268018,1.379120879,0.617056856,0,0.64287792,0.250647627,0.037545788,0.035307645,1,0.164081633,0.068571429
10,Opponent10,loss,0,2,away,Coach2,16,9,59,41,56,40,59,30,0.196078431,-2,0.25,0.70408952,1.384615385,0.649237473,2,0.731916439,0.261237172,0.032051282,0.017802333,0.845714832,0.746666667,0.533333333
11,Opponent11,win,3,2,home,Coach2,10,11,38,62,71,38,71,43,1.454545455,1,0.625,0.646413107,1.351648352,0.569732938,0,0.645469122,0.261601076,0.03525641,0.009762901,0.774858333,0.335813953,0.179731412
12,Opponent12,tie,2,2,away,Coach2,8,16,31,69,72,31,88,52,1.888888889,0,0.5,0.559054539,1.593406593,0.528888889,3,0.644995445,0.248436086,0.049450549,0.00442964,0.727852997,0.151206294,0.06510271
13,Opponent13,loss,1,4,away,Coach2,5,17,33,67,45,20,62,44,1.2,-3,0.125,0.657315504,1.428571429,0.618251928,3,0.711663193,0.256471232,0.035714286,0.003584229,0.720401865,0.108870968,0.048387097
