MatchID,TeamID,OriginPlayerID,OriginPlayerName,DestinationPlayerID,DestinationPlayerName,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Mid_x,Mid_y,PositionWeight,PositionWeight_fil,PositionWeight_n
1,Everton,Everton_D1,Keane,Everton_F1,Lewin,1H,46.323501,Head pass,34,97,59,95,46.5,96,1.85171,1.85171,0.200930445
1,Everton,Everton_M1,Gueye,Everton_F2,Rooney,1H,51.022546,Simple pass,53,89,69,91,61,90,2.51219,2.51219,0.356747027
1,Opponent1,Opponent1_D2,Opponent1_D2,Opponent1_G1,Opponent1_G1,1H,89.008721,Simple pass,19,16,5,50,12,33,1.38335,1.38335,0.090437692
1,Opponent1,Opponent1_G1,Opponent1_G1,Opponent1_F1,Opponent1_F1,1H,92.21616,Launch,5,50,67,44,36,47,2.98005,2.98005,0.467121824
1,Everton,Everton_M2,Klaassen,Everton_M3,Schneiderlin,1H,98.265191,Simple pass,42,55,36,54,39,54.5,1.70071,1.70071,0.165307408
1,Opponent1,Opponent1_D1,Opponent1_D1,Opponent1_F2,Opponent1_F2,1H,109.025545,Simple pass,30,11,31,22,30.5,16.5,1.32015,1.32015,0.075527917
1,Opponent1,Opponent1_F2,Opponent1_F2,Opponent1_D2,Opponent1_D2,1H,111.025997,Simple pass,31,22,27,23,29,22.5,1.26347,1.26347,0.062156303
1,Opponent1,Opponent1_D2,Opponent1_D2,Opponent1_M1,Opponent1_M1,1H,112.856148,High pass,27,23,36,6,31.5,14.5,1.03687,1.03687,0.008698155
1,Everton,Everton_D1,Keane,Everton_F1,Lewin,1H,130.65653,Head pass,34,91,52,97,43,94,1.46889,1.46889,0.110617788
1,Opponent1,Opponent1_F2,Opponent1_F2,Opponent1_D3,Opponent1_D3,1H,151.85275,Simple pass,48,12,46,56,47,34,2.00277,2.00277,0.236567638
1,Opponent1,Opponent1_D3,Opponent1_D3,Opponent1_M2,Opponent1_M2,1H,154.636116,Simple pass,46,56,56,68,51,62,2.30933,2.30933,0.308889481
1,Everton,Everton_D1,Keane,Everton_G1,Pickford,1H,161.22147,Simple pass,14,65,11,50,12.5,57.5,1.37099,1.37099,0.087521793
